,Fecha,Tipo Generacion,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Total
0,1995,HIDRAULICA,400,378,371,376,416,520,619,649,687,702,720,726,685,625,596,594,612,671,851,864,791,689,551,444,14537
1,1995,TERMICA,137,132,131,131,136,141,147,151,151,149,151,153,152,150,149,149,151,163,175,177,172,164,155,146,3611
2,1996,HIDRAULICA,964,919,900,910,1005,1243,1438,1514,1592,1620,1673,1704,1601,1463,1396,1379,1401,1498,1906,2003,1844,1612,1296,1068,33947
3,1996,TERMICA,228,222,220,220,225,235,247,256,261,260,259,263,260,259,260,264,267,292,329,333,321,301,274,247,6302
4,1997,HIDRAULICA,818,774,753,763,851,1075,1249,1332,1413,1444,1495,1529,1431,1313,1256,1238,1251,1347,1771,1873,1726,1482,1164,929,30275
5,1997,TERMICA,449,442,441,442,453,469,479,473,473,468,470,477,474,471,471,473,479,498,534,541,531,520,498,468,11493
6,1998,COGENERADOR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33
7,1998,HIDRAULICA,798,750,731,737,828,1047,1202,1276,1365,1395,1449,1491,1403,1297,1246,1225,1235,1326,1747,1858,1713,1479,1162,917,29678
8,1998,TERMICA,511,507,505,505,509,516,516,514,514,517,517,519,518,520,524,526,530,546,585,592,584,569,545,523,12711
9,1999,COGENERADOR,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,112
10,1999,HIDRAULICA,944,897,879,887,969,1168,1323,1393,1477,1510,1556,1601,1521,1424,1376,1355,1368,1451,1855,1958,1802,1584,1286,1051,32637
11,1999,TERMICA,294,289,285,283,286,294,295,299,307,310,316,317,313,311,314,318,322,349,403,417,411,377,339,316,7765
12,2000,COGENERADOR,5,5,5,5,4,4,4,5,5,5,5,5,4,4,4,4,5,5,4,4,5,5,5,5,108
13,2000,HIDRAULICA,898,857,839,844,915,1101,1247,1320,1407,1443,1488,1525,1455,1370,1330,1312,1316,1386,1742,1843,1706,1506,1224,1001,31074
14,2000,TERMICA,384,371,365,365,371,389,390,386,393,394,397,402,398,397,402,406,416,451,543,560,542,507,457,410,10095
15,2001,COGENERADOR,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,103
16,2001,HIDRAULICA,968,927,906,909,977,1155,1286,1351,1440,1486,1529,1568,1493,1414,1382,1364,1365,1438,1817,1922,1784,1585,1302,1071,32439
17,2001,TERMICA,400,385,381,381,388,405,404,407,418,421,427,431,425,422,427,430,438,464,535,556,544,511,474,430,10506
18,2002,COGENERADOR,5,5,5,5,5,5,4,4,5,5,4,4,4,4,4,4,4,4,4,5,5,5,4,4,107
19,2002,HIDRAULICA,1058,1016,994,997,1067,1248,1363,1433,1527,1575,1623,1659,1582,1512,1484,1465,1466,1524,1910,2023,1892,1689,1399,1165,34670
20,2002,TERMICA,393,379,375,373,378,388,388,387,394,395,400,405,400,399,403,405,412,442,496,513,496,471,450,417,9957
21,2003,COGENERADOR,5,5,5,5,5,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,5,5,4,5,108
22,2003,HIDRAULICA,1158,1109,1084,1083,1154,1342,1439,1510,1612,1667,1720,1763,1689,1620,1600,1586,1587,1649,2028,2147,2020,1821,1530,1278,37197
23,2003,TERMICA,373,363,359,361,367,376,374,372,378,379,381,384,379,378,381,383,390,413,463,472,459,434,415,393,9430
24,2004,COGENERADOR,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,120
25,2004,EOLICA,2,2,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,2,2,2,2,2,51
26,2004,HIDRAULICA,1262,1211,1186,1188,1262,1447,1535,1607,1715,1777,1835,1878,1800,1733,1722,1708,1709,1774,2146,2257,2140,1939,1635,1383,39849
27,2004,TERMICA,332,324,319,319,322,330,328,329,340,345,349,352,347,345,347,351,355,373,433,447,427,401,377,352,8543
28,2005,COGENERADOR,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,114
29,2005,EOLICA,1,1,1,1,1,1,1,1,1,2,2,2,3,3,4,4,4,3,3,2,2,2,2,2,50
30,2005,HIDRAULICA,1316,1264,1235,1232,1301,1480,1558,1626,1748,1819,1879,1920,1845,1788,1782,1773,1769,1825,2196,2306,2185,1988,1700,1440,40979
31,2005,TERMICA,359,344,340,341,348,356,361,367,375,379,382,386,383,381,382,385,391,413,459,469,455,432,411,390,9288
32,2006,COGENERADOR,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,94
33,2006,EOLICA,2,2,2,1,1,1,1,2,2,2,3,3,4,4,5,5,5,4,4,3,2,2,2,2,63
34,2006,HIDRAULICA,1389,1335,1305,1304,1376,1548,1616,1688,1810,1883,1946,1987,1915,1865,1857,1848,1844,1893,2246,2340,2227,2042,1768,1526,42558
35,2006,TERMICA,368,353,346,344,348,357,364,372,384,391,398,402,398,396,401,404,408,433,488,506,487,456,426,395,9625
36,2007,COGENERADOR,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,73
37,2007,EOLICA,1,1,1,1,1,1,1,1,2,2,2,2,3,4,4,4,4,4,3,2,2,2,1,1,50
38,2007,HIDRAULICA,1442,1389,1356,1353,1420,1584,1650,1735,1872,1951,2019,2069,1999,1951,1951,1942,1930,1977,2330,2443,2333,2137,1836,1574,44242
39,2007,TERMICA,355,337,331,330,339,356,363,370,379,384,387,390,387,388,390,393,398,419,460,469,443,417,398,379,9262
40,2008,COGENERADOR,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,52
41,2008,EOLICA,2,1,1,1,1,1,1,1,2,2,2,3,3,4,4,4,4,4,3,3,2,2,2,2,54
42,2008,HIDRAULICA,1520,1456,1421,1417,1488,1662,1729,1820,1956,2037,2107,2151,2093,2051,2046,2038,2027,2068,2412,2516,2403,2198,1899,1647,46161
43,2008,TERMICA,295,285,281,278,281,291,296,309,325,334,346,356,348,344,350,352,355,379,436,446,414,374,340,314,8128
44,2009,COGENERADOR,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,106
45,2009,EOLICA,2,2,1,1,1,1,1,2,2,2,2,3,3,4,4,4,4,4,3,3,2,2,2,2,58
