,Fecha,Month,COGENERADOR,EOLICA,HIDRAULICA,SOLAR,TERMICA,Sum,Renovable(%),ANOM,Niño/a
0,1995-07-31,7,0,0,1051,0,229,1280,82,-0.11,Neutral
1,1995-08-31,8,0,0,2781,0,575,3356,82,-0.61,La Niña
2,1995-09-30,9,0,0,2651,0,671,3322,79,-0.9,La Niña
3,1995-10-31,10,0,0,2804,0,635,3439,81,-0.92,La Niña
4,1995-11-30,11,0,0,2719,0,654,3373,80,-1.1,La Niña
5,1995-12-31,12,0,0,2530,0,848,3378,74,-1.0,La Niña
6,1996-01-31,1,0,0,2449,0,853,3302,74,-0.86,La Niña
7,1996-02-29,2,0,0,2717,0,506,3223,84,-0.85,La Niña
8,1996-03-31,3,0,0,2968,0,469,3437,86,-0.56,La Niña
9,1996-04-30,4,0,0,2874,0,405,3279,87,-0.36,Neutral
10,1996-05-31,5,0,0,3004,0,412,3416,87,-0.26,Neutral
11,1996-06-30,6,0,0,2882,0,369,3251,88,-0.3,Neutral
12,1996-07-31,7,0,0,3031,0,371,3402,89,-0.32,Neutral
13,1996-08-31,8,0,0,2927,0,498,3425,85,-0.2,Neutral
14,1996-09-30,9,0,0,2731,0,589,3320,82,-0.45,Neutral
15,1996-10-31,10,0,0,2831,0,565,3396,83,-0.4,Neutral
16,1996-11-30,11,0,0,2711,0,629,3340,81,-0.34,Neutral
17,1996-12-31,12,0,0,2820,0,637,3457,81,-0.61,La Niña
18,1997-01-31,1,0,0,2907,0,488,3395,85,-0.54,La Niña
19,1997-02-28,2,0,0,2656,0,517,3173,83,-0.36,Neutral
20,1997-03-31,3,0,0,2859,0,570,3429,83,-0.2,Neutral
21,1997-04-30,4,0,0,2781,0,666,3447,80,0.27,Neutral
22,1997-05-31,5,0,0,2707,0,818,3525,76,0.76,El Niño
23,1997-06-30,6,0,0,2588,0,749,3337,77,1.22,El Niño
24,1997-07-31,7,0,0,2619,0,958,3577,73,1.67,El Niño
25,1997-08-31,8,0,0,2563,0,1024,3587,71,1.91,El Niño
26,1997-09-30,9,0,0,2250,0,1304,3554,63,2.12,El Niño
27,1997-10-31,10,0,0,2206,0,1433,3639,60,2.4,El Niño
28,1997-11-30,11,0,0,2032,0,1455,3487,58,2.48,El Niño
29,1997-12-31,12,0,0,2107,0,1510,3617,58,2.32,El Niño
30,1998-01-31,1,1,0,1804,0,1764,3569,50,2.37,El Niño
31,1998-02-28,2,1,0,1711,0,1643,3355,51,2.03,El Niño
32,1998-03-31,3,1,0,1871,0,1808,3680,50,1.38,El Niño
33,1998-04-30,4,1,0,1862,0,1637,3500,53,0.9,El Niño
34,1998-05-31,5,1,0,2588,0,1050,3639,71,0.7,El Niño
35,1998-06-30,6,1,0,2779,0,666,3446,80,-0.24,Neutral
36,1998-07-31,7,1,0,2980,0,641,3622,82,-0.86,La Niña
37,1998-08-31,8,1,0,2962,0,619,3582,82,-1.25,La Niña
38,1998-09-30,9,1,0,2636,0,872,3509,75,-1.26,La Niña
39,1998-10-31,10,4,0,2790,0,801,3595,77,-1.41,La Niña
40,1998-11-30,11,9,0,2814,0,619,3442,81,-1.38,La Niña
41,1998-12-31,12,9,0,2879,0,589,3477,82,-1.64,La Niña
42,1999-01-31,1,9,0,2751,0,602,3362,81,-1.69,La Niña
43,1999-02-28,2,9,0,2598,0,530,3137,82,-1.31,La Niña
44,1999-03-31,3,8,0,2920,0,550,3478,83,-0.9,La Niña
45,1999-04-30,4,8,0,2727,0,584,3319,82,-1.0,La Niña
46,1999-05-31,5,9,0,2793,0,626,3428,81,-1.02,La Niña
47,1999-06-30,6,9,0,2779,0,512,3300,84,-1.05,La Niña
48,1999-07-31,7,10,0,2747,0,656,3413,80,-1.05,La Niña
49,1999-08-31,8,10,0,2807,0,619,3436,81,-1.19,La Niña
50,1999-09-30,9,10,0,2521,0,816,3347,75,-1.09,La Niña
51,1999-10-31,10,10,0,2813,0,623,3446,81,-1.19,La Niña
52,1999-11-30,11,10,0,2663,0,702,3375,78,-1.5,La Niña
53,1999-12-31,12,10,0,2519,0,946,3475,72,-1.7,La Niña
54,2000-01-31,1,9,0,2378,0,941,3328,71,-1.77,La Niña
55,2000-02-29,2,9,0,2267,0,982,3258,69,-1.53,La Niña
56,2000-03-31,3,9,0,2493,0,970,3472,71,-0.93,La Niña
57,2000-04-30,4,8,0,2383,0,898,3289,72,-0.75,La Niña
58,2000-05-31,5,10,0,2720,0,758,3488,77,-0.74,La Niña
59,2000-06-30,6,9,0,2652,0,702,3363,78,-0.64,La Niña
60,2000-07-31,7,10,0,2838,0,605,3453,82,-0.55,La Niña
