Fecha,COGENERADOR,EOLICA,HIDRAULICA,SOLAR,TERMICA,Total,Renovable
1995,0.0,0.0,14537.42378,0.0,3610.94877,18148,80
1996,0.0,0.0,33946.91049,0.0,6301.8327,40248,84
1997,0.0,0.0,30275.33572,0.0,11406.63908,41681,72
1998,33.06129,0.0,29677.50958,0.0,12710.70994,42421,69
1999,109.21058000000001,0.0,32637.07974,0.0,7765.40573,40511,80
2000,108.35989921,0.0,31074.2842443,0.0,10095.45188983,41278,75
2001,102.60971495,0.0,32438.92545014,0.0,10506.18765971,43047,75
2002,107.49069193,0.0,34670.24307254,0.0,9957.39371426,44735,77
2003,107.590968,0.0,37196.64783718,0.0,9429.95730903,46734,79
2004,119.71202405,50.71362369,39848.67018374,0.0,8542.73211547,48561,82
2005,113.64892039,49.55056066,40978.95421125,0.0,9287.60548573,50429,81
2006,94.06199218,62.98139279,42557.89176579,0.0,9625.11317506,52340,81
2007,72.60191567,49.89097492,44242.09759453,0.0,9261.53256995,53626,82
2008,51.89074256,53.91816671,46160.88280927,0.0,8128.30623755,54394,84
2009,106.15914511,57.70781403,40837.3660317,0.0,14964.39281188,55965,73
2010,220.44912683,38.56991991,40557.46262644,0.0,15971.14999184,56787,71
2011,316.86177859,41.27194458,48431.72684756,0.0,9830.5673702,58620,82
2012,346.64693331,54.85471133,47581.709764189996,0.0,11906.85824961,59890,79
2013,351.98436356,57.6248026,44362.79007343,0.0,17424.18817991,62196,71
2014,472.01963518,70.23029788,44741.96339774,0.0,19043.64156013,64327,69
2015,526.18712602,68.37744831,44681.90236708,0.0,21272.00698963,66548,67
2016,599.99421347,50.88734136,46798.55340201,0.0,18492.73772919,65942,71
2017,633.72647335,3.07141922,57342.9803223,5.38760728,8681.93146782,66667,86
2018,733.9989451,43.43735494,56651.23672825,9.12004659,11510.43924009,68948,82
2019,731.98337471,63.32406278,54436.99647724,115.32914564,14766.96536323,70114,77
2020,782.65499089,10.11660792,49837.35303543,190.79603026,18502.63541139,69323,72
2021,786.29022068,60.46201776,60495.98385435,323.01688723,12267.79581603,73933,82
2022,763.86888259,74.29833988,64337.29494717,502.60424221,11230.38266098,76908,84
